,英雄名,勝率,選取率,位置
0,好運姐,52.09%,23.91%,下路
1,伊澤瑞爾,50.26%,37.93%,下路
2,凱特琳,50.49%,13.76%,下路
3,汎,50.36%,9.06%,下路
4,法洛士,50.73%,12.27%,下路
5,貪啃奇,54.50%,1.05%,下路
6,犽宿,51.91%,1.90%,下路
7,亞菲利歐,48.03%,11.56%,下路
8,卡莎碧雅,53.33%,1.17%,下路
9,克黎思妲,50.57%,5.84%,下路
10,艾希,50.93%,9.65%,下路
11,路西恩,48.89%,15.26%,下路
12,凱莎,47.14%,26.53%,下路
13,漢默丁格,53.20%,0.63%,下路
14,吉茵珂絲,50.64%,6.54%,下路
15,達瑞文,50.85%,1.91%,下路
16,燼,49.85%,5.97%,下路
17,希維爾,50.19%,2.78%,下路
18,剎雅,48.41%,3.81%,下路
19,圖奇,49.44%,1.27%,下路
20,崔絲塔娜,49.15%,1.60%,下路
21,寇格魔,50.62%,0.61%,下路
